StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Willie Aames,,Aames,William,M,1960,,unknown,USA
Bud Abbott,1939-1956,Abbott,William,M,1895,1974.0,R:straight,comedian
Diahnne Abbott,1976-1982,,,F,,,R:sexy,USA
George Abbott,1928-1958,Abbott,George,M,1887,,"R:playwright, producer",USA
John Abbott,1937-1975,Abbott,John,M,1905,,"R:staring eyes, eccentric parts",british
Philip Abbott,1957-1973,Abbott,Philip,M,1923,,R:second lead,USA
Kareem AbdulJabbar,,,,M,,,R:basketball player,USA
Walter Abel,1935-1974,Abel,Walter,M,1898,,R:harrassed hero,USA
F.Murray Abraham,1983,,,M,,,unknown,unknown
James Abrahams,,,,M,,,unknown,unknown
Maury Abram,,,,,,,unknown,unknown
Victoria Abril,1985-1990,,,F,,,R:sexy,\Portugse
Joss Ackland,1949-1979,Ackland,Joss,M,1928,,R:larger-than-life personality,british
Dan Ackroyd,1979-1990,Ackroyd,Dan,M,,,R:comic,USA
David Ackroyd,,,,M,1940,,unknown,USA
Peter Ackroyd,,,,M,,,unknown,unknown
Rodolfo Acosta,1948-1967,Acosta,Rodolfo,M,1920,,R:cold-eyed,\Am-Me
Eddie Acuff,1935-1947,Acuff,Eddie,M,1902,,R:supporting comedian,USA
Jean Adair,1922-1947,Adair,Jean,F,1872,,R:sweet aunt,USA
Alfred Adam,1935-1961,Adam,Alfred,M,1909,,"R:weak, villainous",french
Ronald Adam,1938-1971,Adam,Ronald,M,1896,,"R:well-bred, stuffy professional",british
John Adames,,,,M,,,unknown,unknown
Beverly Adams,1963-1967,Adams,Beverly,F,1945,,R:lead,canada
Brooke Adams,1977-1983,Adams,Brooke,F,1949,,R:laid-back,USA
Catlin Adams,,Barab,Catlin,,1950,,unknown,USA
Dorothy Adams,1938-1976,Adams,Dorothy,F,1915,,R:timorous sullen,USA
Edie Adams,1960-1979,Enke,Elizabeth Edith,F,1929,,R:pert comedienne,USA
Jane Adams,1945-1949,Adams,Jane,F,1921,,unknown,USA
Jill Adams,1954-1966,Adams,Julia,F,1931,,R:pert light lead,british
Julie Adams,1947-1981,Adams,\S{Betty May (Julia),F,1926,,R:soft,USA
Maud Adams,1952-1967,Wikstrom,Maude,F,1950,,R:lead,\Sw-\Am
Nick Adams,1952-1967,Adamschock,Nicholas,M,1931,,R:neurotic aggressive lead,USA
Robert Adams,1935-1947,Adams,Robert,M,1906,,R:black,\WI
Sam Adams,,,,M,,,R:comic,
Tome Adams,1963-1975,Adams,Tome,M,1938,,R:burly,british
Dawn Addams,1951-1977,Addams,Dawn,F,1930,,"R:smart, glamorous",british
Wesley Addy,1951-1982,Addy,Wesley,M,1912,,"R:humourless, sinister",USA
