,Country,Date,MovieName,Gross,Gross_change,Releases,Week
0,USA,Apr 26-28,Avengers: Endgame,"$402,212,102",+268.3%,115,17
1,USA,Jul 19-21,The Lion King,"$263,892,161",+107.9%,103,29
2,USA,Nov 27-Dec 1,Frozen II,"$262,286,436",-16.7%,59,47
3,USA,Dec 20-22,Star Wars: Episode IX - The Rise of Skywalker,"$247,812,806",+110.3%,72,51
4,USA,May 24-27,Aladdin,"$230,819,376",+1.6%,97,21
5,USA,Nov 28-Dec 1,Frozen II,"$215,904,496",-16.3%,55,47
6,USA,Mar 8-10,Captain Marvel,"$210,567,952",+81.6%,108,10
7,USA,May 3-5,Avengers: Endgame,"$199,858,498",-50.3%,113,18
8,USA,Nov 22-24,Frozen II,"$204,914,094",+87.7%,100,47
9,USA,Jun 21-23,Toy Story 4,"$203,833,169",+50%,102,25
10,USA,Dec 27-29,Star Wars: Episode IX - The Rise of Skywalker,"$197,191,326",-20.4%,73,52
11,USA,Jul 5-7,Spider-Man: Far from Home,"$183,814,074",+21.1%,96,27
12,USA,May 24-26,Aladdin,"$181,249,523",+22.2%,106,21
13,USA,May 31-Jun 2,Godzilla: King of the Monsters,"$174,095,811",-3.9%,108,22
14,USA,Nov 29-Dec 1,Frozen II,"$180,855,568",-11.7%,90,48
15,USA,May 10-12,Avengers: Endgame,"$168,268,766",-15.8%,114,19
16,USA,Jun 7-9,The Secret Life of Pets 2,"$165,733,750",-4.8%,101,23
17,USA,Jul 26-28,The Lion King,"$162,878,770",-38.3%,101,30
18,USA,Oct 11-14Columbus Day wknd,Joker,"$161,052,977",-21.3%,60,41
19,USA,Aug 2-4,Fast & Furious Presents: Hobbs & Shaw,"$148,999,326",-8.5%,98,31
20,USA,Oct 4-6,Joker,"$150,555,276",+59.2%,108,40
21,USA,May 17-19,John Wick: Chapter 3 - Parabellum,"$148,365,507",-11.8%,116,20
22,USA,Mar 22-24,Us,"$148,854,831",+6.5%,118,12
23,USA,Jun 28-30,Toy Story 4,"$151,841,739",-25.5%,98,26
24,USA,Apr 5-7,Shazam!,"$146,937,939",+6.6%,117,14
